emp_no,first_name,last_name,dept_name,to_date
11469,Guttorm,Giaccio,Production,9999-01-01
11506,Rance,Picel,Sales,9999-01-01
11509,Aleksander,Feldhoffer,Development,9999-01-01
11513,Otmar,Mahnke,Finance,9999-01-01
11515,Ulf,Basawa,Sales,9999-01-01
11518,Jinxi,Oxman,Human Resources,9999-01-01
11524,Xiadong,Standera,Development,9999-01-01
11527,Alagu,Boyle,Marketing,9999-01-01
11528,Zito,Dolinsky,Production,9999-01-01
11537,DAIDA,Pehl,Sales,9999-01-01
11554,Subhash,Taubenfeld,Marketing,9999-01-01
11554,Subhash,Taubenfeld,Human Resources,1999-02-21
11555,Kotesh,Perfilyeva,Human Resources,9999-01-01
11567,Teiji,Mitzlaff,Sales,9999-01-01
11568,Martins,Fujisaki,Development,9999-01-01
11603,Herb,Swen,Finance,9999-01-01
11607,Tomokazu,Foong,Production,9999-01-01
11615,Shem,Isaak,Sales,9999-01-01
11624,Adil,Gammage,Production,9999-01-01
11628,Fan,Malinowski,Development,1995-04-23
11628,Fan,Malinowski,Research,9999-01-01
11640,Valeri,Coorg,Development,9999-01-01
11647,Magy,Nitsche,Development,9999-01-01
11660,Gill,Stenning,Sales,9999-01-01
11673,Henk,Felder,Production,9999-01-01
11676,Valeri,Ferriere,Production,9999-01-01
11681,Fumitake,Benzmuller,Production,9999-01-01
11684,Oksana,Gide,Marketing,9999-01-01
11696,Dante,Rothe,Sales,9999-01-01
11732,Sanjoy,Ranft,Production,2002-07-12
11732,Sanjoy,Ranft,Customer Service,9999-01-01
11735,Amalendu,Picci,Customer Service,9999-01-01
11746,Koichi,Marrakchi,Sales,9999-01-01
11751,Jiafu,Emiris,Research,9999-01-01
11764,Sanjay,Anick,Production,9999-01-01
11769,Chandrasekaran,Lampe,Development,9999-01-01
11769,Chandrasekaran,Lampe,Research,1999-04-18
11772,Gaurav,Penz,Development,9999-01-01
11797,Chenxi,Thambidurai,Marketing,9999-01-01
11797,Chenxi,Thambidurai,Sales,1996-09-28
11810,Amabile,Bhattacharjee,Development,9999-01-01
11817,Niranjan,Markovitch,Sales,9999-01-01
11832,Arto,Zlotek,Development,9999-01-01
11844,Shawna,Demeyer,Development,9999-01-01
11853,Zeljko,Kusakabe,Marketing,9999-01-01
11857,Divier,Farrag,Sales,9999-01-01
11864,Pradeep,Kriebel,Customer Service,9999-01-01
11871,Nalini,Sommen,Development,9999-01-01
11872,Cheong,Riexinger,Marketing,9999-01-01
11894,Mitchel,Validov,Development,9999-01-01
11897,Cordelia,Setlzner,Sales,9999-01-01
11906,Hideo,Boguraev,Development,9999-01-01
11915,Miomir,Mawatari,Production,9999-01-01
11931,Gunilla,Chiodo,Research,9999-01-01
11933,Basil,Erman,Development,9999-01-01
11949,Martijn,Harbusch,Production,9999-01-01
11983,Jaana,Hedayat,Development,9999-01-01
11993,Marit,Dalphin,Human Resources,9999-01-01
12011,Zhilian,Coorg,Sales,9999-01-01
12036,Mads,Ratzlaff,Marketing,1995-07-01
12036,Mads,Ratzlaff,Sales,9999-01-01
12037,Arunas,Katzenelson,Customer Service,9999-01-01
12050,Yuchang,Tchuente,Production,9999-01-01
12062,Margareta,Worfolk,Human Resources,9999-01-01
12069,Ayonca,Burnard,Development,9999-01-01
12070,Ger,Shokrollahi,Development,9999-01-01
12076,Karlis,Siprelle,Sales,9999-01-01
12082,Xinan,Yamaashi,Sales,9999-01-01
12089,Bilhanan,Socorro,Human Resources,9999-01-01
12099,Nobuyoshi,Kuzuoka,Sales,9999-01-01
12112,Satyanarayana,Avouris,Finance,9999-01-01
12122,Satoru,Krone,Production,9999-01-01
12123,Xiahua,Syrzycki,Research,9999-01-01
12125,Shounak,Erman,Production,9999-01-01
12125,Shounak,Erman,Development,1999-09-01
12149,Suebskul,Grandbois,Sales,9999-01-01
12159,Shem,Perly,Development,9999-01-01
12165,Xiaobin,Maquelin,Development,9999-01-01
12183,Harngdar,Iisaku,Quality Management,9999-01-01
12192,Feiyu,Klyachko,Quality Management,9999-01-01
12205,Sushant,Rossi,Development,9999-01-01
12206,Barton,Janetzko,Development,9999-01-01
12218,Yaghout,Strooper,Quality Management,9999-01-01
12221,Vincent,Melter,Development,9999-01-01
12222,Abdelwaheb,Holburn,Finance,9999-01-01
12223,Niteen,Koyama,Production,9999-01-01
12247,Subbu,Penttonen,Development,9999-01-01
12249,Eldridge,Sadowski,Development,9999-01-01
12256,Guadalupe,Reghbati,Human Resources,9999-01-01
12264,Mart,Pagter,Development,9999-01-01
12270,Shakhar,Kornyak,Research,9999-01-01
12272,Behnaam,Grandbois,Human Resources,9999-01-01
12308,Mototsugu,Cronau,Finance,1996-09-20
12308,Mototsugu,Cronau,Human Resources,9999-01-01
12311,Susanne,Lubachevsky,Development,9999-01-01
12327,DAIDA,Bruckman,Development,9999-01-01
12341,Rasiah,Luga,Development,9999-01-01
12343,Sorina,Slaats,Production,9999-01-01
12343,Sorina,Slaats,Customer Service,2000-09-03
12365,Kamakshi,Bisiani,Production,9999-01-01
12373,Mooi,Driscoll,Sales,9999-01-01
12395,Sanjit,Felder,Finance,9999-01-01
12399,Mihalis,Luga,Sales,9999-01-01
12411,Shao,Ibel,Sales,9999-01-01
12413,Hugh,Gadepally,Production,9999-01-01
12417,Dannz,Spelt,Production,9999-01-01
12422,Berhard,Demos,Human Resources,9999-01-01
12454,Kerryn,Farris,Sales,9999-01-01
12464,Shai,Milicic,Sales,9999-01-01
12475,Filipe,Roison,Development,9999-01-01
12487,Mona,Reghbati,Finance,9999-01-01
12487,Mona,Reghbati,Human Resources,1998-12-11
12489,Arnould,Munck,Development,9999-01-01
12490,Jackson,Muchinsky,Development,9999-01-01
12497,Stein,Penz,Sales,9999-01-01
12501,Morrie,Matheson,Finance,9999-01-01
12504,Adly,Rosaz,Production,9999-01-01
12514,Tomofumi,Melter,Development,9999-01-01
12528,Conor,Cincotta,Customer Service,9999-01-01
12534,Yongmao,Gerlach,Production,9999-01-01
12541,Shih,Nanard,Sales,9999-01-01
12542,Kazuhide,Bouloucos,Human Resources,9999-01-01
12551,Jeane,Tzvieli,Production,9999-01-01
12553,Aral,Vesna,Human Resources,9999-01-01
12557,Stafford,Kopetz,Production,9999-01-01
12557,Stafford,Kopetz,Quality Management,1994-09-23
12589,Anoosh,Chleq,Development,9999-01-01
12596,Breannda,Roisin,Human Resources,9999-01-01
12601,Ghassan,Simkin,Development,9999-01-01
12608,Nectarios,Mondadori,Human Resources,9999-01-01
12635,Xinyu,Restivo,Production,1995-04-07
12635,Xinyu,Restivo,Customer Service,9999-01-01
12638,Yuqun,Seiwald,Development,9999-01-01
12642,Suebskul,Gips,Marketing,9999-01-01
12651,Pragnesh,Bael,Sales,9999-01-01
12662,Leucio,Alvarado,Development,9999-01-01
12663,Nobuyoshi,Stellhorn,Development,9999-01-01
12664,Zhonghua,Parveen,Sales,2001-03-12
12664,Zhonghua,Parveen,Customer Service,9999-01-01
12689,Luerbio,Boudaillier,Development,9999-01-01
12691,Oddvar,Gils,Production,9999-01-01
12697,Uri,Brizzi,Human Resources,9999-01-01
12709,Ronghao,Botman,Development,9999-01-01
12717,Tzu,Jiafu,Research,9999-01-01
12722,Elliott,Cheshire,Finance,9999-01-01
12726,Fumitake,Panwar,Development,9999-01-01
12729,Nahla,Rahier,Production,2000-09-10
12729,Nahla,Rahier,Customer Service,9999-01-01
12731,Yongmao,Waymire,Human Resources,9999-01-01
12732,Mara,Takanami,Sales,9999-01-01
12734,Gil,Frijda,Development,9999-01-01
12755,Rildo,Rodite,Human Resources,9999-01-01
12773,Jenwei,Lovengreen,Development,9999-01-01
12790,Gunilla,Perl,Sales,9999-01-01
12795,Masoud,Fordan,Finance,9999-01-01
12798,Lillian,Beeson,Sales,9999-01-01
12803,Gad,Boissier,Marketing,9999-01-01
12803,Gad,Boissier,Sales,1999-08-30
12815,Sushant,Junot,Research,9999-01-01
12819,Mountaz,Gubsky,Production,9999-01-01
12848,Kazuhide,Smeets,Development,9999-01-01
12863,Leif,Matheson,Production,9999-01-01
12872,Marl,Schmittgen,Sales,9999-01-01
12879,Baruch,Eugenio,Development,9999-01-01
12890,Neven,Casley,Sales,9999-01-01
12893,Licheng,Crouzet,Sales,9999-01-01
12895,Roddy,Serot,Production,9999-01-01
12905,Munehiro,Gecsei,Development,9999-01-01
12926,Heekeun,Luby,Research,9999-01-01
12940,Odinaldo,Farrar,Development,9999-01-01
12941,Tommaso,Perelgut,Development,9999-01-01
12949,Geoff,Asrin,Development,9999-01-01
12977,Byong,Markovitch,Development,9999-01-01
12983,Elliott,Hambrick,Finance,9999-01-01
13030,Yahiko,Kroll,Marketing,9999-01-01
13046,Vivian,Stafford,Finance,9999-01-01
13047,Atilio,Chelton,Development,9999-01-01
13075,Rosella,Morrin,Marketing,9999-01-01
13075,Rosella,Morrin,Sales,1990-09-02
13076,Deniz,Skafidas,Development,9999-01-01
13096,Ibibia,Armand,Quality Management,9999-01-01
13103,Srinidhi,Ellozy,Development,9999-01-01
13124,Quingbo,Garnick,Sales,9999-01-01
13133,Guther,Senzako,Marketing,1991-06-13
13133,Guther,Senzako,Customer Service,9999-01-01
13134,Lorien,Chepyzhov,Production,9999-01-01
13144,Persi,Nollmann,Finance,9999-01-01
13146,Haldon,Erie,Sales,9999-01-01
13147,Shichao,Ginesta,Sales,9999-01-01
13156,Akeel,Millington,Development,9999-01-01
13165,Lucian,Benner,Quality Management,9999-01-01
13168,Munir,Stentiford,Production,9999-01-01
13170,Cheong,Bernardeschi,Finance,1998-09-21
13170,Cheong,Bernardeschi,Human Resources,9999-01-01
13171,Anoosh,Birnbaum,Quality Management,9999-01-01
13173,Arve,Horswill,Sales,9999-01-01
13179,Moty,Janocha,Sales,9999-01-01
13182,Kokou,Rodite,Production,9999-01-01
13186,Kyoichi,Barbanera,Sales,9999-01-01
13192,Rosita,Flowers,Production,9999-01-01
13192,Rosita,Flowers,Development,2001-01-19
13202,Aram,Scharstein,Research,9999-01-01
13210,Jianhua,Klassen,Marketing,9999-01-01
13210,Jianhua,Klassen,Sales,1997-08-10
13213,Hein,Billawala,Sales,9999-01-01
13232,Mitchel,Fujisaki,Development,9999-01-01
13233,Alselm,Chvatal,Development,9999-01-01
13238,Ebru,Foote,Sales,9999-01-01
13240,King,Pileggi,Development,9999-01-01
13250,Zeydy,Schusler,Production,9999-01-01
13272,Arun,Jiang,Customer Service,9999-01-01
13276,Yechiam,Seuren,Finance,9999-01-01
13288,Muneo,Broomell,Human Resources,9999-01-01
13291,Georg,Stamatiou,Development,9999-01-01
13302,Mack,Alencar,Development,9999-01-01
13315,Sakthirel,Stroustrup,Development,9999-01-01
13332,Nidapan,Pearson,Production,9999-01-01
13333,Yoshinari,Hennebert,Production,9999-01-01
13333,Yoshinari,Hennebert,Development,1998-08-30
13341,Bodh,Doering,Marketing,9999-01-01
13343,Heon,Usery,Finance,9999-01-01
13343,Heon,Usery,Human Resources,1995-05-06
13368,Kiyokazu,Klassen,Human Resources,9999-01-01
13371,Nakhoon,Riexinger,Production,9999-01-01
13373,Juichirou,Naumovich,Finance,1993-04-05
13373,Juichirou,Naumovich,Human Resources,9999-01-01
13385,Claudi,Buchter,Human Resources,9999-01-01
13386,Khosrow,Sgarro,Development,9999-01-01
13389,Divine,Cmelik,Research,9999-01-01
13392,Fumitake,Beidas,Sales,9999-01-01
13396,Chuanyi,Aumann,Customer Service,9999-01-01
13402,Augustine,Dulli,Development,2002-02-26
13402,Augustine,Dulli,Research,9999-01-01
13405,Randy,Baba,Sales,9999-01-01
13407,Gio,Chenoweth,Production,9999-01-01
13408,Sreekrishna,Lagarias,Production,9999-01-01
13415,Nathalie,Speer,Quality Management,9999-01-01
13422,Vishwani,Gerlach,Production,1991-11-21
13422,Vishwani,Gerlach,Quality Management,9999-01-01
13442,Giordano,Miake,Human Resources,9999-01-01
13443,Mayuko,Puppo,Quality Management,9999-01-01
13445,Renee,Dehkordi,Production,9999-01-01
13451,Gretta,Weiland,Human Resources,9999-01-01
13457,Shooichi,Parfitt,Quality Management,9999-01-01
13458,Feipei,Nivat,Production,2002-02-02
13458,Feipei,Nivat,Customer Service,9999-01-01
13463,Theron,Berstel,Production,9999-01-01
13465,Sasan,Rehfuss,Production,9999-01-01
13493,Uinam,Jullig,Development,9999-01-01
13504,Parto,Mandell,Development,9999-01-01
13524,Chaoyi,Porotnikoff,Sales,9999-01-01
13535,Arunas,Schlenzig,Production,9999-01-01
13546,Aimee,Brookner,Production,9999-01-01
13549,Matk,Koprowski,Development,9999-01-01
13552,Ingmar,Capobianchi,Research,9999-01-01
13576,Jungsoon,Engberts,Development,9999-01-01
13576,Jungsoon,Engberts,Research,1997-02-18
13605,Dmitry,Encarnacion,Sales,9999-01-01
13621,Fei,Haddadi,Development,9999-01-01
13624,Zhigen,Yurek,Human Resources,9999-01-01
13629,Dzung,Trelles,Development,9999-01-01
13648,Zejun,Lamba,Production,9999-01-01
13653,Kristen,Iivonen,Human Resources,9999-01-01
13670,Moti,Takanami,Development,9999-01-01
13680,Denny,Speer,Sales,9999-01-01
13685,Weicheng,Hockney,Development,9999-01-01
13697,Shuichi,Weedon,Development,9999-01-01
13704,Vishu,Kumaresan,Production,9999-01-01
13721,Sugwoo,Delgrossi,Sales,9999-01-01
13727,Vitali,Merey,Human Resources,9999-01-01
13738,Bangqing,Mitchem,Development,9999-01-01
13766,Tremaine,Heemskerk,Customer Service,9999-01-01
13769,Yakichi,Trogemann,Sales,9999-01-01
13775,Arve,Maierhofer,Sales,9999-01-01
13786,Takushi,Berendt,Sales,9999-01-01
13787,Xiaobin,Sinicrope,Production,9999-01-01
13792,Valery,Sury,Finance,9999-01-01
13796,Paloma,Thorelli,Development,9999-01-01
13809,Kiyotoshi,Basagni,Customer Service,9999-01-01
13815,Guadalupe,Plotkin,Production,9999-01-01
13825,Arlette,Pell,Production,9999-01-01
13841,Christophe,Spinelli,Production,1995-10-19
13841,Christophe,Spinelli,Quality Management,9999-01-01
13842,Juichirou,Cichocki,Research,9999-01-01
13846,Guiseppe,Welham,Research,9999-01-01
13853,Mingsen,Roohalamini,Research,9999-01-01
13859,Anoosh,Fujisawa,Development,9999-01-01
13884,Kensei,Swift,Production,9999-01-01
13894,Ult,Schonegge,Production,9999-01-01
13904,Youngkon,Cairo,Development,9999-01-01
13934,Shiv,Bratsberg,Development,9999-01-01
13942,Elzbieta,Esteva,Development,9999-01-01
13951,Mooi,Genther,Sales,9999-01-01
13960,Nechama,Hettesheimer,Finance,9999-01-01
13962,Maris,Ghelli,Production,9999-01-01
13966,Boguslaw,Cooman,Customer Service,9999-01-01
13969,Jianwen,Chandrasekhar,Development,9999-01-01
13990,Deborah,Schapiro,Development,9999-01-01
13992,Ulises,Kenevan,Finance,9999-01-01
13999,Florian,Crouzet,Human Resources,9999-01-01
14005,Vojin,Stellhorn,Development,9999-01-01
14005,Vojin,Stellhorn,Quality Management,1996-10-04
14015,Manibrata,Picaronny,Production,1998-08-25
14015,Manibrata,Picaronny,Quality Management,9999-01-01
14034,Aloys,Seghrouchni,Finance,9999-01-01
14041,Shan,DeMori,Marketing,9999-01-01
14067,Godehard,Trachtenberg,Production,9999-01-01
14088,Mori,Leslie,Research,9999-01-01
14107,Xiahua,Rindone,Marketing,9999-01-01
14111,Leszek,Cummings,Customer Service,9999-01-01
14118,Kasturi,Anido,Customer Service,9999-01-01
14167,Adas,Hertweck,Production,9999-01-01
14191,Jiann,Luby,Development,9999-01-01
14209,Masanao,Kusakabe,Research,9999-01-01
14220,Tomofumi,Pargas,Production,9999-01-01
14232,Masali,Bojadziev,Development,9999-01-01
14236,Xuedong,Angiulli,Research,9999-01-01
14237,Abdulla,Gerlach,Production,1998-03-22
14237,Abdulla,Gerlach,Customer Service,9999-01-01
14242,Sudhanshu,Benaini,Customer Service,9999-01-01
14257,Kwok,Massonet,Production,9999-01-01
14257,Kwok,Massonet,Customer Service,2000-07-13
14290,Miyeon,Olivero,Production,9999-01-01
14292,Susanna,Vigier,Research,9999-01-01
14298,Chriss,Granlund,Production,9999-01-01
14310,Marlo,Leuchs,Sales,9999-01-01
14320,Sreenivas,Schaar,Production,9999-01-01
14322,Shem,Kakkad,Development,9999-01-01
14323,Golgen,Leslie,Production,9999-01-01
14323,Golgen,Leslie,Customer Service,1997-10-22
14340,Vitaly,Wixon,Production,9999-01-01
14344,Otilia,Buescher,Production,9999-01-01
14354,Mong,Bojadziev,Sales,9999-01-01
14360,Janche,Erbe,Research,9999-01-01
14372,Saniya,Srimani,Development,2002-06-02
14372,Saniya,Srimani,Research,9999-01-01
14384,Tomofumi,Holburn,Development,9999-01-01
14422,Toshimo,Gadepally,Production,9999-01-01
14434,Elvis,Maginnis,Development,9999-01-01
14439,Raimond,Woycyznski,Quality Management,9999-01-01
14460,Yagil,Lueh,Production,9999-01-01
14478,Munehiro,Boissier,Sales,9999-01-01
14481,Moti,Lammel,Production,9999-01-01
14483,Supot,Marrevee,Development,9999-01-01
14486,Indrajit,Birdsall,Production,9999-01-01
14498,Xiong,Selenyi,Human Resources,9999-01-01
14501,Taizo,Kroft,Production,9999-01-01
14509,Danil,Aloia,Finance,9999-01-01
14513,Samphel,Barreiro,Marketing,9999-01-01
14513,Samphel,Barreiro,Sales,1991-02-04
14515,Kazuhisa,Versino,Quality Management,9999-01-01
14516,Kristian,Underwood,Sales,9999-01-01
14518,Patricia,Peir,Production,9999-01-01
14522,Chuanyi,Ranta,Finance,9999-01-01
14537,Babette,Engelmann,Quality Management,9999-01-01
14552,Ibibia,Snyers,Development,9999-01-01
14556,Fatemeh,Zultner,Production,9999-01-01
14560,Elrique,Driscoll,Development,9999-01-01
14581,Gao,Condotta,Development,9999-01-01
14582,Kiyokazu,Morrin,Development,9999-01-01
14600,Jayson,Cairo,Customer Service,9999-01-01
14603,Lech,Marquardt,Development,9999-01-01
14607,Suzette,Selvestrel,Sales,9999-01-01
14620,Jianhua,Erev,Production,9999-01-01
14621,Souichi,Wixon,Sales,9999-01-01
14632,Gudjon,McClurg,Quality Management,9999-01-01
14639,Arvind,Hempstead,Sales,9999-01-01
14640,Toshimori,Kornatzky,Development,9999-01-01
14642,Florian,Kuhnemann,Development,9999-01-01
14645,Laurentiu,Glinert,Development,9999-01-01
14648,IEEE,Lorys,Sales,9999-01-01
14659,Sashi,Adachi,Quality Management,9999-01-01
14675,Teunis,Angel,Human Resources,9999-01-01
14677,Herbert,Sifakis,Production,9999-01-01
14683,Alois,Basart,Production,1999-10-11
14683,Alois,Basart,Customer Service,9999-01-01
14690,Yechezkel,Bellone,Development,9999-01-01
14693,Brewster,Stranks,Customer Service,9999-01-01
14710,Mahmut,Hainaut,Marketing,9999-01-01
14723,Constantino,Assaf,Human Resources,9999-01-01
14724,Aron,Lemarechal,Finance,9999-01-01
14780,Marlo,Bruckman,Production,9999-01-01
14785,Zhonghua,Kaiser,Production,1998-09-24
14785,Zhonghua,Kaiser,Customer Service,9999-01-01
14793,Stein,Uchoa,Development,9999-01-01
14814,Odysseas,Nishimukai,Customer Service,9999-01-01
14817,Gaurav,Masaki,Development,1993-04-08
14817,Gaurav,Masaki,Research,9999-01-01
14821,Oguz,Kilgore,Development,9999-01-01
14839,Changho,Cronin,Development,9999-01-01
14853,Taiji,Nergos,Development,9999-01-01
14877,Arto,Meriste,Development,9999-01-01
14879,Anyuan,Sigstam,Development,9999-01-01
14888,Temple,Barriga,Sales,9999-01-01
14899,Alejandro,Casley,Finance,1995-11-27
14899,Alejandro,Casley,Sales,9999-01-01
14906,Adil,Parveen,Research,9999-01-01
